time_us, abag_bias, abag_gain, abag_control, abag_ek_bar, local_vz
20147, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
30263, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
40563, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
50816, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
60917, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
71177, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
81296, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
91552, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
101676, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
111947, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
122130, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
132258, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
142385, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
152528, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
162726, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
172831, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
183051, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
193171, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
203297, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
213416, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
223662, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
233904, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
244131, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
254385, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
264664, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
274923, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
285048, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
295296, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
305427, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
315692, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
325817, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
336058, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
346260, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
356394, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
366651, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
376735, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
386994, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
397127, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
407255, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
417376, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
427510, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
437632, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
447843, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
458051, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
468282, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
478518, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
488566, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
498690, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
508774, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
519022, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
529145, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
539400, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
549533, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
559793, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
570035, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
580155, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
590405, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
600716, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
610918, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
621020, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
631266, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
641395, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
651660, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
661773, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
671893, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
682138, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
692262, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
702382, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
712516, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
722724, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
732811, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
743029, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
753153, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
763288, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
773410, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
783527, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
793752, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
803976, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
814168, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
824425, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
834661, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
844745, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
855004, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
865137, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
875361, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
885480, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
895747, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
905986, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
916211, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
926461, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
936719, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
946857, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
956975, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
967174, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
977292, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
987372, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
997471, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1007592, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
